Best run: 233.0
Best reward: 244.77686376673515
Deltas: [3.2375710787618517, 3.9375710787618514, 2.8248423687378663, 4.123744297168971, 6.386523086423937, 5.422656837956941, 6.642884124934758, 6.6543404667260155, 7.893244214723483, 8.445170123746198, 10.139199996002265]
Lambdas: [0.7674804277755767, 0.6349345717377634, 0.28631013766553076, 0.2015416134762347, 0.04376840051048882, 0.003153611413881927, 0.029074476079848952, 0.004523025356426574, 7.925026861444655e-05, 0.0009853701954918, 0.00023142111558910658]
Params: ['500', '60', '0.7', '0.7', '0.01', '0.0005'], mean: 52.205616394394575, std: 15.124211325551446
Params: ['500', '100', '0.7', '0.7', '0.01', '0.0005'], mean: 73.68815338508857, std: 47.9808370348645
Params: ['500', '150', '0.7', '0.7', '0.01', '0.0005'], mean: 74.14346160723483, std: 20.826284211925245
Params: ['500', '200', '0.7', '0.7', '0.01', '0.0005'], mean: 56.676551058147666, std: 40.4476619720771
Params: ['750', '80', '0.7', '0.7', '0.01', '0.0005'], mean: 68.00873828540513, std: 44.9280962296823
Params: ['750', '125', '0.7', '0.7', '0.01', '0.0005'], mean: 64.50428510165561, std: 35.45404322214028
Params: ['750', '175', '0.7', '0.7', '0.01', '0.0005'], mean: 67.56514095857597, std: 47.68386504130733
Params: ['1000', '60', '0.7', '0.7', '0.01', '0.0005'], mean: 67.81590295109737, std: 54.11116320846045
Params: ['1000', '100', '0.7', '0.7', '0.01', '0.0005'], mean: 64.93067864436102, std: 29.657849141427437
Params: ['1000', '150', '0.7', '0.7', '0.01', '0.0005'], mean: 59.58820088292801, std: 24.40826436006389
Params: ['1000', '200', '0.7', '0.7', '0.01', '0.0005'], mean: 53.724662956361655, std: 24.701230250319476
Params: ['1250', '80', '0.7', '0.7', '0.01', '0.0005'], mean: 68.87513959612129, std: 24.93575118957585
Params: ['1250', '125', '0.7', '0.7', '0.01', '0.0005'], mean: 65.77121668720773, std: 54.831690313373734
Params: ['1250', '175', '0.7', '0.7', '0.01', '0.0005'], mean: 66.65967448813444, std: 26.920634687270503
Params: ['1500', '60', '0.7', '0.7', '0.01', '0.0005'], mean: 40.85919440261427, std: 11.98356278238043
Params: ['1500', '100', '0.7', '0.7', '0.01', '0.0005'], mean: 82.07080696915126, std: 44.89472030256367
Params: ['1500', '150', '0.7', '0.7', '0.01', '0.0005'], mean: 69.22398662113054, std: 30.671873176004848
Params: ['1500', '200', '0.7', '0.7', '0.01', '0.0005'], mean: 59.10529477651261, std: 27.00675719626447
Params: ['1750', '80', '0.7', '0.7', '0.01', '0.0005'], mean: 51.612780534734554, std: 18.50382094201007
Params: ['1750', '125', '0.7', '0.7', '0.01', '0.0005'], mean: 80.5295889720794, std: 36.12256841263705
Params: ['1750', '175', '0.7', '0.7', '0.01', '0.0005'], mean: 79.40886200183397, std: 34.253537897135395
Params: ['2000', '60', '0.7', '0.7', '0.01', '0.0005'], mean: 51.03639395399717, std: 25.02303282931986
Params: ['2000', '100', '0.7', '0.7', '0.01', '0.0005'], mean: 51.73887108101221, std: 36.873528799050945
Params: ['2000', '150', '0.7', '0.7', '0.01', '0.0005'], mean: 105.26519747682805, std: 63.497659269290196
Best params: ['2000', '150', '0.7', '0.7', '0.01', '0.0005'], mean: 105.26519747682805, std: 63.497659269290196
