Best run: 565.0
Best reward: 235.4318881356464
Deltas: [3.310007867671236, 4.96604067898453, 2.1119469946973237, 5.756956479752034, 8.16063217891269, 4.24821583029265, 6.268985034972241, 6.616560415982679, 8.493188059156818, 8.886579382114398, 10.135483809133946]
Lambdas: [0.9502801250095901, 0.2586034325999415, 0.7735631511028599, 0.11308162922758214, 0.006582645245451654, 0.06496157318822424, 0.015953172377558906, 0.0003724320456466061, 0.005428974218707914, 0.0009005003646543179, 0.00041814426861523857]
Params: ['500', '50', '0.7', '0.7', '0.01', '0.0005'], mean: 45.0464934925908, std: 25.21575188430248
Params: ['500', '50', '0.7', '0.7', '0.01', '0.0005'], mean: 28.66866173378461, std: 7.876420010805572
Params: ['500', '50', '0.7', '0.7', '0.01', '0.0005'], mean: 45.9778651992783, std: 18.589886978013297
Params: ['500', '50', '0.7', '0.7', '0.01', '0.0005'], mean: 29.505227138446884, std: 13.348081295135202
Params: ['500', '50', '0.7', '0.7', '0.01', '0.0005'], mean: 43.815534488827026, std: 17.977932223569503
Params: ['500', '100', '0.7', '0.7', '0.01', '0.0005'], mean: 75.21188960458876, std: 23.316297234603915
Params: ['500', '100', '0.7', '0.7', '0.01', '0.0005'], mean: 61.77998359792614, std: 43.88451823430369
Params: ['500', '100', '0.7', '0.7', '0.01', '0.0005'], mean: 50.23355419945598, std: 32.524265128447304
Params: ['500', '100', '0.7', '0.7', '0.01', '0.0005'], mean: 51.622729289486266, std: 30.26552739527951
Params: ['500', '100', '0.7', '0.7', '0.01', '0.0005'], mean: 71.98585931061933, std: 29.605451351081552
Params: ['500', '150', '0.7', '0.7', '0.01', '0.0005'], mean: 83.93694295349613, std: 33.5096571657182
Params: ['500', '150', '0.7', '0.7', '0.01', '0.0005'], mean: 101.63752152525333, std: 37.88365183421274
Params: ['500', '150', '0.7', '0.7', '0.01', '0.0005'], mean: 56.33063829108212, std: 40.57028551167968
Params: ['500', '150', '0.7', '0.7', '0.01', '0.0005'], mean: 55.61469995056798, std: 26.53981027190279
Params: ['500', '150', '0.7', '0.7', '0.01', '0.0005'], mean: 74.95780883248001, std: 48.20134187529928
Params: ['500', '200', '0.7', '0.7', '0.01', '0.0005'], mean: 76.79491449745714, std: 45.95893107453775
Params: ['500', '200', '0.7', '0.7', '0.01', '0.0005'], mean: 91.50590928331256, std: 56.37990042334583
Params: ['500', '200', '0.7', '0.7', '0.01', '0.0005'], mean: 77.13845897798883, std: 34.50979058672496
Params: ['500', '200', '0.7', '0.7', '0.01', '0.0005'], mean: 76.72096906651336, std: 39.625678396384664
Params: ['500', '200', '0.7', '0.7', '0.01', '0.0005'], mean: 90.93252385518693, std: 57.92009858551588
Params: ['1000', '50', '0.7', '0.7', '0.01', '0.0005'], mean: 44.601981920268884, std: 17.406874220773567
Params: ['1000', '50', '0.7', '0.7', '0.01', '0.0005'], mean: 42.224162509494555, std: 23.194057510979054
Params: ['1000', '50', '0.7', '0.7', '0.01', '0.0005'], mean: 53.813222207243086, std: 32.10611900543324
Params: ['1000', '50', '0.7', '0.7', '0.01', '0.0005'], mean: 49.54233519495086, std: 33.35534495946871
Params: ['1000', '50', '0.7', '0.7', '0.01', '0.0005'], mean: 35.32765785534859, std: 8.76104260921808
Params: ['1000', '100', '0.7', '0.7', '0.01', '0.0005'], mean: 42.64033315608802, std: 23.638204464064938
Params: ['1000', '100', '0.7', '0.7', '0.01', '0.0005'], mean: 53.25698627680195, std: 26.026069430799183
Params: ['1000', '100', '0.7', '0.7', '0.01', '0.0005'], mean: 78.93680846648755, std: 39.99697592017596
Params: ['1000', '100', '0.7', '0.7', '0.01', '0.0005'], mean: 68.4063038029135, std: 27.945100176925237
Params: ['1000', '100', '0.7', '0.7', '0.01', '0.0005'], mean: 65.87329312898035, std: 37.05699204482584
Params: ['1000', '150', '0.7', '0.7', '0.01', '0.0005'], mean: 71.92485272033893, std: 45.466194363008036
Params: ['1000', '150', '0.7', '0.7', '0.01', '0.0005'], mean: 65.97841116867478, std: 33.24489989292601
Params: ['1000', '150', '0.7', '0.7', '0.01', '0.0005'], mean: 83.03501887900357, std: 35.22099349112543
Params: ['1000', '150', '0.7', '0.7', '0.01', '0.0005'], mean: 68.2185534702779, std: 24.31746888980349
Params: ['1000', '150', '0.7', '0.7', '0.01', '0.0005'], mean: 67.8518232331962, std: 30.25900919568202
Params: ['1000', '200', '0.7', '0.7', '0.01', '0.0005'], mean: 79.88468785699511, std: 37.16654794974997
Params: ['1000', '200', '0.7', '0.7', '0.01', '0.0005'], mean: 86.80894360356747, std: 28.369790787175237
Params: ['1000', '200', '0.7', '0.7', '0.01', '0.0005'], mean: 89.86887958804388, std: 52.133944346486835
Params: ['1000', '200', '0.7', '0.7', '0.01', '0.0005'], mean: 66.99275155591906, std: 50.88057817320538
Params: ['1000', '200', '0.7', '0.7', '0.01', '0.0005'], mean: 75.42725263014704, std: 34.60010021736288
Params: ['1500', '50', '0.7', '0.7', '0.01', '0.0005'], mean: 35.57100135300302, std: 15.250620521263189
Params: ['1500', '50', '0.7', '0.7', '0.01', '0.0005'], mean: 34.33207175412518, std: 18.888242483261433
Params: ['1500', '50', '0.7', '0.7', '0.01', '0.0005'], mean: 33.67466778628208, std: 8.234257898434162
Params: ['1500', '50', '0.7', '0.7', '0.01', '0.0005'], mean: 30.216912908926496, std: 12.78389836840283
Params: ['1500', '50', '0.7', '0.7', '0.01', '0.0005'], mean: 35.040132865956885, std: 17.16926819176597
Params: ['1500', '100', '0.7', '0.7', '0.01', '0.0005'], mean: 69.94445563935565, std: 45.01524611051592
Params: ['1500', '100', '0.7', '0.7', '0.01', '0.0005'], mean: 40.99598024042045, std: 25.250917492324188
Params: ['1500', '100', '0.7', '0.7', '0.01', '0.0005'], mean: 51.15095622867468, std: 35.11923866186512
Params: ['1500', '100', '0.7', '0.7', '0.01', '0.0005'], mean: 57.42516099909483, std: 47.060379418804274
Params: ['1500', '100', '0.7', '0.7', '0.01', '0.0005'], mean: 63.61392556720241, std: 46.951079325208546
Params: ['1500', '150', '0.7', '0.7', '0.01', '0.0005'], mean: 82.9488602296176, std: 41.39393578868097
Params: ['1500', '150', '0.7', '0.7', '0.01', '0.0005'], mean: 49.774301657206664, std: 21.754578052492377
Params: ['1500', '150', '0.7', '0.7', '0.01', '0.0005'], mean: 80.12856726899301, std: 51.56896976963354
Params: ['1500', '150', '0.7', '0.7', '0.01', '0.0005'], mean: 48.812173656995746, std: 22.636179522015926
Params: ['1500', '150', '0.7', '0.7', '0.01', '0.0005'], mean: 55.6222831275245, std: 26.75116631449166
Params: ['1500', '200', '0.7', '0.7', '0.01', '0.0005'], mean: 52.44049664594996, std: 26.295102398256045
Params: ['1500', '200', '0.7', '0.7', '0.01', '0.0005'], mean: 94.5011164607598, std: 57.79485225486279
Params: ['1500', '200', '0.7', '0.7', '0.01', '0.0005'], mean: 70.74688848585954, std: 36.85837861790541
Params: ['1500', '200', '0.7', '0.7', '0.01', '0.0005'], mean: 72.73832573016062, std: 48.15203100421336
Params: ['1500', '200', '0.7', '0.7', '0.01', '0.0005'], mean: 90.29497479363796, std: 53.23168683182362
Params: ['2000', '50', '0.7', '0.7', '0.01', '0.0005'], mean: 39.495441329583876, std: 25.096280803216043
Params: ['2000', '50', '0.7', '0.7', '0.01', '0.0005'], mean: 40.90598062699945, std: 12.312735330581411
