Params: ['300', '20', '0.7', '0.3', '0.01', '0.0005'], mean: 24.60204266971504, std: 10.58751149816321
Params: ['300', '20', '0.7', '0.3', '0.01', '0.005'], mean: 29.300086150161896, std: 11.718704927141074
Params: ['300', '20', '0.7', '0.3', '0.01', '0.05'], mean: 34.18947639582869, std: 22.83231086560179
Params: ['300', '20', '0.7', '0.3', '0.1', '0.0005'], mean: 28.38284628087647, std: 10.623525191836835
Params: ['300', '20', '0.7', '0.3', '0.1', '0.005'], mean: 23.782088324808843, std: 28.389457773585132
Params: ['300', '20', '0.7', '0.3', '0.1', '0.05'], mean: 30.456489210210613, std: 25.535033281391808
Params: ['300', '20', '0.7', '0.3', '1.0', '0.0005'], mean: 28.109366773057907, std: 15.780986032556154
Params: ['300', '20', '0.7', '0.3', '1.0', '0.005'], mean: 27.433422774170026, std: 28.52167803779532
Params: ['300', '20', '0.7', '0.3', '1.0', '0.05'], mean: 25.353557516579166, std: 11.971946027178644
Params: ['300', '20', '0.7', '0.5', '0.01', '0.0005'], mean: 31.354055494160253, std: 14.621595499636344
Params: ['300', '20', '0.7', '0.5', '0.01', '0.005'], mean: 23.94768825501189, std: 10.703636013103308
Params: ['300', '20', '0.7', '0.5', '0.01', '0.05'], mean: 24.157164734305365, std: 15.605449293221035
Params: ['300', '20', '0.7', '0.5', '0.1', '0.0005'], mean: 25.446354993518373, std: 13.60489211294228
Params: ['300', '20', '0.7', '0.5', '0.1', '0.005'], mean: 20.93814782815065, std: 8.828172732038102
Params: ['300', '20', '0.7', '0.5', '0.1', '0.05'], mean: 22.205162884382993, std: 8.7577437602908
Params: ['300', '20', '0.7', '0.5', '1.0', '0.0005'], mean: 23.654277837618707, std: 19.272963786482514
Params: ['300', '20', '0.7', '0.5', '1.0', '0.005'], mean: 28.616859305349045, std: 10.985605404183271
Params: ['300', '20', '0.7', '0.5', '1.0', '0.05'], mean: 23.351562478447494, std: 16.220567618514444
Params: ['300', '20', '0.7', '0.7', '0.01', '0.0005'], mean: 25.28975806175235, std: 12.866094301109467
Params: ['300', '20', '0.7', '0.7', '0.01', '0.005'], mean: 30.049946331304124, std: 16.92644954975722
Params: ['300', '20', '0.7', '0.7', '0.01', '0.05'], mean: 32.954943870404804, std: 21.238215279844894
Params: ['300', '20', '0.7', '0.7', '0.1', '0.0005'], mean: 22.218884117554147, std: 8.45971486022026
Params: ['300', '20', '0.7', '0.7', '0.1', '0.005'], mean: 21.953373582786096, std: 8.30016775502728
Params: ['300', '20', '0.7', '0.7', '0.1', '0.05'], mean: 32.204127516521055, std: 29.129697804275825
Params: ['300', '20', '0.7', '0.7', '1.0', '0.0005'], mean: 20.56944420375706, std: 10.31358323679207
Params: ['300', '20', '0.7', '0.7', '1.0', '0.005'], mean: 22.56891872477045, std: 11.64181105386446
Params: ['300', '20', '0.7', '0.7', '1.0', '0.05'], mean: 21.97441675282957, std: 6.7569810503019
Params: ['300', '20', '0.8', '0.3', '0.01', '0.0005'], mean: 11.423788350765095, std: 4.187435079615325
Params: ['300', '20', '0.8', '0.3', '0.01', '0.005'], mean: 12.0345315665945, std: 3.748543391195306
Params: ['300', '20', '0.8', '0.3', '0.01', '0.05'], mean: 15.994493680520378, std: 7.997352689280263
Params: ['300', '20', '0.8', '0.3', '0.1', '0.0005'], mean: 20.24426360839438, std: 7.014648019547234
Params: ['300', '20', '0.8', '0.3', '0.1', '0.005'], mean: 17.404539526685255, std: 7.887017523131387
Params: ['300', '20', '0.8', '0.3', '0.1', '0.05'], mean: 13.347479499356623, std: 5.114706897964237
Params: ['300', '20', '0.8', '0.3', '1.0', '0.0005'], mean: 15.035568109058014, std: 6.776315327415433
Params: ['300', '20', '0.8', '0.3', '1.0', '0.005'], mean: 15.734977353021801, std: 8.798836728085524
Params: ['300', '20', '0.8', '0.3', '1.0', '0.05'], mean: 14.870221075242313, std: 8.112032555805984
Params: ['300', '20', '0.8', '0.5', '0.01', '0.0005'], mean: 12.075585900960819, std: 5.894947431607631
Params: ['300', '20', '0.8', '0.5', '0.01', '0.005'], mean: 12.663611340646408, std: 7.6622774232208615
Params: ['300', '20', '0.8', '0.5', '0.01', '0.05'], mean: 16.762668673777853, std: 5.948682516376916
Params: ['300', '20', '0.8', '0.5', '0.1', '0.0005'], mean: 16.624915101484383, std: 13.258107240691848
Params: ['300', '20', '0.8', '0.5', '0.1', '0.005'], mean: 16.52426339094366, std: 8.837735537380023
Params: ['300', '20', '0.8', '0.5', '0.1', '0.05'], mean: 11.273885408476499, std: 3.7560500518046864
Params: ['300', '20', '0.8', '0.5', '1.0', '0.0005'], mean: 16.368168908119898, std: 7.267900491015118
Params: ['300', '20', '0.8', '0.5', '1.0', '0.005'], mean: 15.694606714482223, std: 7.242668696041856
Params: ['300', '20', '0.8', '0.5', '1.0', '0.05'], mean: 12.54015784690233, std: 4.495227188179104
Params: ['300', '20', '0.8', '0.7', '0.01', '0.0005'], mean: 13.462618952596582, std: 5.857240787885768
Params: ['300', '20', '0.8', '0.7', '0.01', '0.005'], mean: 13.839521784984948, std: 6.26384035577392
Params: ['300', '20', '0.8', '0.7', '0.01', '0.05'], mean: 12.933697021408127, std: 5.513192547975926
Params: ['300', '20', '0.8', '0.7', '0.1', '0.0005'], mean: 13.817211467449658, std: 6.290796354150014
Params: ['300', '20', '0.8', '0.7', '0.1', '0.005'], mean: 13.492574160102984, std: 7.325474373641117
Params: ['300', '20', '0.8', '0.7', '0.1', '0.05'], mean: 11.196408993890042, std: 5.178700085969704
Params: ['300', '20', '0.8', '0.7', '1.0', '0.0005'], mean: 12.38656809336562, std: 5.083424985301088
Params: ['300', '20', '0.8', '0.7', '1.0', '0.005'], mean: 13.093999141558863, std: 3.7992452546768076
Params: ['300', '20', '0.8', '0.7', '1.0', '0.05'], mean: 11.556679488808326, std: 4.141815134905345
Params: ['300', '20', '0.9', '0.3', '0.01', '0.0005'], mean: 8.804576698318193, std: 3.6348867060411414
Params: ['300', '20', '0.9', '0.3', '0.01', '0.005'], mean: 7.642937999633699, std: 3.880604376586832
